id,text,sentiment,lang,created_at,location_id,user_id
1,"ايه الأكل 😜",0,ar,"2015-08-16 21:41:13 +0000",,1
2,"RT @nitishuna: @LasVegasChicas @I_luv_reds @DimondLadies @SiliconEros @herby2121 @hughcox69 @VxExx @Swt_Red @tthumb9090 @raggdoll_98 http:/…",0,und,"2015-08-16 21:41:13 +0000",,2
3,"إنّ العرب إذا تغلبوا على أوطان أسرع إليها الخراب والسبب في ذلك أنها أمة وحشية بإستحكام عوائد التوحش وأسبابه فصار لهم خلقة وجبلة

- ابن خلدون",0,ar,"2015-08-16 21:41:13 +0000",,3
4,"RT @moonmona7: لن الومك على رِحيلك ...
فَـقٌـدْ رِحلت  لأٌنـَي ْ اَشٌـبَـعـتك ٌ حبآ حـتى  أكتفيت. .. http://t.co/ceD9aTiFfI",0,ar,"2015-08-16 21:41:13 +0000",,4
5,"@16_Pirates any shots?",0,en,"2015-08-16 21:41:13 +0000",,5
6,"RT @Cancer_gk: A #Cancer may act shy and quiet, but will adamantly defend a loved one against outsiders.",2,en,"2015-08-16 21:41:13 +0000",,6
7,"@1voodoochild thanks for the follow💯",2,en,"2015-08-16 21:41:13 +0000",,7
8,"""shitting on otherkin is ablist and transphobic as fuck"" ????",0,en,"2015-08-16 21:41:13 +0000",,8
9,"112 #MTVHottest Britney Spears",0,en,"2015-08-16 21:41:13 +0000",,9
10,"RT @Gggb769Gggb: هناك ضربه موجه  ستكون في عمق الخليج. 
ستغير مجريات  الاحداث 
ماعليكم سوا الصبر والانتصار. والايام بيننا لمن ستكون الغلبه. …",0,ar,"2015-08-16 21:41:13 +0000",,10
11,"RT @BestofPisces: #Pisces won't always call you out on your bullshit, but trust me, they DO see it.",1,en,"2015-08-16 21:41:13 +0000",,11
12,"これ、これ！！！
まじで50万楽勝だったwww
　　【http://t.co/Q6oJ3LxKKO】",0,ja,"2015-08-16 21:41:13 +0000",,12
13,"@tenu_san 実習です寝れません…",0,ja,"2015-08-16 21:41:13 +0000",,13
14,"RT @TanBiitches: PREACH http://t.co/08TTjh7G01",0,en,"2015-08-16 21:41:13 +0000",,14
15,"Boooa noiiiite,

Converso com Deus porque sei que Ele se importa. 󾌧󾍇󾌵",0,pt,"2015-08-16 21:41:13 +0000",,15
16,"amk filmi beynimin içine etti ya düşünemiyorum şu an....",0,tr,"2015-08-16 21:41:13 +0000",,16
17,"RT @PerfectBaits: http://t.co/9Y8VAB9Gbq",0,und,"2015-08-16 21:41:13 +0000",,17
18,"RT @quotes4writers: Elie Wiesel: Words can sometimes, in moments of grace, attain the quality of deeds. | #writingtips #writing #amwriting",0,en,"2015-08-16 21:41:13 +0000",,18
19,"RT @marcusbrando: Tô carente de money",0,pt,"2015-08-16 21:41:13 +0000",,19
20,"ふぅ。ねみ",0,ja,"2015-08-16 21:41:13 +0000",,20
21,"تستحم و يصورها و هي خجلانا جديددددد + الصور &lt;&lt; فلم سكس عرب نار &gt;&gt;http://t.co/sx6PIWgtJw اضغط على الاعلان لمشاهدة الفيلم",0,ar,"2015-08-16 21:41:13 +0000",,21
22,"RT @ana_auryneer: Voy a subir 15 fotos de David (2)
Recuerda: cada rt un voto

#VideoVeranoMTV auryn http://t.co/uPrYaZESw4",0,es,"2015-08-16 21:41:13 +0000",,22
23,"RT @AcostaCelu: Ella me stalkea ♡ 

Te amo rubea @aldii_leiva",0,it,"2015-08-16 21:41:13 +0000",,23
24,"самый любимый вайн с лм, где они говорят: лав ю.
я прям чувствую, что мои девочки говорят это мне",0,ru,"2015-08-16 21:41:13 +0000",,24
25,"@ShivamDRao are you dumb blud.... You have missed more games than me and you are missing the most crucial bit",-7,en,"2015-08-16 21:41:13 +0000",,25
26,"RT @PolloVignolo: Coincido plenamente señor gambeta  https://t.co/yuDxGFeCma",0,es,"2015-08-16 21:41:13 +0000",,26
27,"ربي ارحمهما كما ربياني صغيرا
http://t.co/lLjXz7VPln",0,ar,"2015-08-16 21:41:13 +0000",,27
28,"Naging malake ung uniform ko dahil sa buhol ko 😂😂",0,tl,"2015-08-16 21:41:13 +0000",,28
29,"RT @oihanamarre: PTDDDDDDDDR LE PAUVRE http://t.co/HUvnDpgggb",0,fr,"2015-08-16 21:41:13 +0000",,29
30,"RT @imamoglu53: Şerefsiz,alçaklar!

#SavaşYokTemizlikYapıyoruz http://t.co/EWD2NBEqJT",0,tr,"2015-08-16 21:41:13 +0000",,30
31,"#nature 🌲🌳 http://t.co/tpHHZnwc7L",0,und,"2015-08-16 21:41:13 +0000",,31
32,"Et qui arrive dans la soirée? Jessy matador @JessyHereil",0,fr,"2015-08-16 21:41:13 +0000",,32
33,"@Emanshow14 u have to cuff if you want to keep Netflix and chilling",0,en,"2015-08-16 21:41:13 +0000",,33
34,"Kısa şortla namusunu, taktığın küpeyle erkekliğini ölçen bir millet olduğumuzdan bizden bir bok olmaz.Açık ve net..",0,tr,"2015-08-16 21:41:13 +0000",,34
35,"112 #MTVHottest Britney Spears",0,en,"2015-08-16 21:41:13 +0000",,9
36,"貴様のことを考える精気もとい性器がみなぎってくるぞぉ！セイバーに抱きつくキモい英雄王ｗｗｗわれもはじめては貴様に捧げるぞ♡いやわたし処女じゃないんだけど…かわいそうだから黙っておく… http://t.co/kyAfZfje9M http://t.co/KcLcS3TFZ7",0,ja,"2015-08-16 21:41:13 +0000",,35
